,precision,recall,f1,IoU,by_sample_precision,by_sample_recall,by_sample_f1,record
0,0.5660547697863376,0.8519021739130435,0.680166335201591,0.1,0.6550270216005488,0.5672806205324604,0.608004273998728,01-02-0002
1,0.5570267830273848,0.8383152173913043,0.6693183872717411,0.2,0.6550270216005488,0.5672806205324604,0.608004273998728,01-02-0002
2,0.5221185675594342,0.7857789855072463,0.6273729886096546,0.3,0.6550270216005488,0.5672806205324604,0.608004273998728,01-02-0002
3,0.4646403851941017,0.6992753623188406,0.5583077201229435,0.4,0.6550270216005488,0.5672806205324604,0.608004273998728,01-02-0002
4,0.38639783328317784,0.5815217391304348,0.4642921713975773,0.5,0.6550270216005488,0.5672806205324604,0.608004273998728,01-02-0002
5,0.29190490520613904,0.43931159420289856,0.3507503163984813,0.6,0.6550270216005488,0.5672806205324604,0.608004273998728,01-02-0002
6,0.19590731266927475,0.29483695652173914,0.23540047007774362,0.7,0.6550270216005488,0.5672806205324604,0.608004273998728,01-02-0002
7,0.09328919650917845,0.1403985507246377,0.11209546194178269,0.8,0.6550270216005488,0.5672806205324604,0.608004273998728,01-02-0002
8,0.02016250376166115,0.030344202898550724,0.024227083709998192,0.9,0.6550270216005488,0.5672806205324604,0.608004273998728,01-02-0002
0,0.38448125544899736,0.7325581395348837,0.5042881646655232,0.1,0.41832650166484353,0.4701154316359682,0.4427115302049708,01-02-0003
1,0.3818657367044464,0.7275747508305648,0.5008576329331046,0.2,0.41832650166484353,0.4701154316359682,0.4427115302049708,01-02-0003
2,0.3644289450741064,0.6943521594684385,0.4779874213836478,0.3,0.41832650166484353,0.4701154316359682,0.4427115302049708,01-02-0003
3,0.3190932868352223,0.6079734219269103,0.41852487135506006,0.4,0.41832650166484353,0.4701154316359682,0.4427115302049708,01-02-0003
4,0.25457715780296425,0.4850498338870432,0.33390508862206975,0.5,0.41832650166484353,0.4701154316359682,0.4427115302049708,01-02-0003
5,0.17785527462946818,0.3388704318936877,0.2332761578044597,0.6,0.41832650166484353,0.4701154316359682,0.4427115302049708,01-02-0003
6,0.12031386224934612,0.2292358803986711,0.15780445969125215,0.7,0.41832650166484353,0.4701154316359682,0.4427115302049708,01-02-0003
7,0.06015693112467306,0.11461794019933555,0.07890222984562607,0.8,0.41832650166484353,0.4701154316359682,0.4427115302049708,01-02-0003
8,0.018308631211857017,0.03488372093023256,0.02401372212692967,0.9,0.41832650166484353,0.4701154316359682,0.4427115302049708,01-02-0003
0,0.4798590130916415,0.7954924874791319,0.5986180904522613,0.1,0.5128952878380283,0.5567827327279259,0.5339386889797756,01-02-0005
1,0.47583081570996977,0.7888146911519198,0.5935929648241205,0.2,0.5128952878380283,0.5567827327279259,0.5339386889797756,01-02-0005
2,0.4607250755287009,0.7637729549248747,0.574748743718593,0.3,0.5128952878380283,0.5567827327279259,0.5339386889797756,01-02-0005
3,0.42245720040281975,0.7003338898163606,0.5270100502512562,0.4,0.5128952878380283,0.5567827327279259,0.5339386889797756,01-02-0005
4,0.34843907351460224,0.5776293823038398,0.43467336683417085,0.5,0.5128952878380283,0.5567827327279259,0.5339386889797756,01-02-0005
5,0.2623363544813696,0.4348914858096828,0.32726130653266333,0.6,0.5128952878380283,0.5567827327279259,0.5339386889797756,01-02-0005
6,0.1691842900302115,0.28046744574290483,0.21105527638190955,0.7,0.5128952878380283,0.5567827327279259,0.5339386889797756,01-02-0005
7,0.08308157099697885,0.13772954924874792,0.10364321608040201,0.8,0.5128952878380283,0.5567827327279259,0.5339386889797756,01-02-0005
8,0.017119838872104734,0.028380634390651086,0.021356783919597992,0.9,0.5128952878380283,0.5567827327279259,0.5339386889797756,01-02-0005
0,0.37468030690537085,0.7001194743130227,0.4881299458558933,0.1,0.40370275354882845,0.4668819320480045,0.4329998555413645,01-02-0006
1,0.3695652173913043,0.6905615292712067,0.4814660558100791,0.2,0.40370275354882845,0.4668819320480045,0.4329998555413645,01-02-0006
2,0.3523017902813299,0.6583034647550776,0.458975426905456,0.3,0.40370275354882845,0.4668819320480045,0.4329998555413645,01-02-0006
3,0.31521739130434784,0.5890083632019116,0.4106622240733028,0.4,0.40370275354882845,0.4668819320480045,0.4329998555413645,01-02-0006
4,0.260230179028133,0.4862604540023895,0.3390254060807997,0.5,0.40370275354882845,0.4668819320480045,0.4329998555413645,01-02-0006
5,0.2071611253196931,0.3870967741935484,0.2698875468554769,0.6,0.40370275354882845,0.4668819320480045,0.4329998555413645,01-02-0006
6,0.1278772378516624,0.23894862604540024,0.16659725114535612,0.7,0.40370275354882845,0.4668819320480045,0.4329998555413645,01-02-0006
7,0.06521739130434782,0.12186379928315412,0.0849645980841316,0.8,0.40370275354882845,0.4668819320480045,0.4329998555413645,01-02-0006
8,0.01918158567774936,0.035842293906810034,0.024989587671803416,0.9,0.40370275354882845,0.4668819320480045,0.4329998555413645,01-02-0006
0,0.34226119933633564,0.9019362898188632,0.4962199312714777,0.1,0.43334198873090524,0.6820927692206183,0.5299806824306956,01-02-0007
1,0.3382318084854231,0.891317926296065,0.4903780068728522,0.2,0.43334198873090524,0.6820927692206183,0.5299806824306956,01-02-0007
2,0.3247214979853046,0.8557151780137414,0.4707903780068729,0.3,0.43334198873090524,0.6820927692206183,0.5299806824306956,01-02-0007
3,0.2972268310026073,0.783260462211118,0.4309278350515464,0.4,0.43334198873090524,0.6820927692206183,0.5299806824306956,01-02-0007
4,0.25788101445840245,0.6795752654590881,0.37388316151202744,0.5,0.43334198873090524,0.6820927692206183,0.5299806824306956,01-02-0007
5,0.20858023228253142,0.5496564647095565,0.3024054982817869,0.6,0.43334198873090524,0.6820927692206183,0.5299806824306956,01-02-0007
6,0.1514576913960654,0.39912554653341664,0.21958762886597938,0.7,0.43334198873090524,0.6820927692206183,0.5299806824306956,01-02-0007
7,0.07845461009717943,0.20674578388507184,0.11374570446735395,0.8,0.43334198873090524,0.6820927692206183,0.5299806824306956,01-02-0007
8,0.02109504621948329,0.055590256089943786,0.03058419243986254,0.9,0.43334198873090524,0.6820927692206183,0.5299806824306956,01-02-0007
0,0.5045273451647954,0.8376428141912207,0.629746835443038,0.1,0.6098484405629017,0.5521451720177619,0.5795640672611568,01-02-0009
1,0.4972835929011228,0.825616355983163,0.6207052441229656,0.2,0.6098484405629017,0.5521451720177619,0.5795640672611568,01-02-0009
